瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C)
156,堡林,2016-05-06,19.9
156,堡林,2016-05-07,17.3
156,堡林,2016-05-08,18.9
156,堡林,2016-05-09,17.1
156,堡林,2016-05-10,14.6
156,堡林,2016-05-11,17.1
156,堡林,2016-05-12,19
156,堡林,2016-05-13,18.3
156,堡林,2016-05-14,20.1
156,堡林,2016-05-15,19.3
156,堡林,2016-05-16,15.6
156,堡林,2016-05-17,19.2
156,堡林,2016-05-18,22.6
156,堡林,2016-05-19,22.1
156,堡林,2016-05-20,22.9
156,堡林,2016-05-21,23.7
156,堡林,2016-05-22,23.5
156,堡林,2016-05-23,23.2
156,堡林,2016-05-24,18.8
156,堡林,2016-05-25,20.4
156,堡林,2016-05-26,21.9
156,堡林,2016-05-27,23.3
156,堡林,2016-05-28,21.5
156,堡林,2016-05-29,20.7
156,堡林,2016-05-30,22.3
156,堡林,2016-05-31,22.1
156,堡林,2016-06-01,22.5
156,堡林,2016-06-02,22
156,堡林,2016-06-03,22.7
156,堡林,2016-06-04,18.4
156,堡林,2016-06-05,21
156,堡林,2016-06-06,20.1
156,堡林,2016-06-07,21.4
156,堡林,2016-06-08,22.5
156,堡林,2016-06-09,23.4
156,堡林,2016-06-10,23.7
156,堡林,2016-06-11,24.3
156,堡林,2016-06-12,24.1
156,堡林,2016-06-13,24.1
156,堡林,2016-06-14,23.6
156,堡林,2016-06-15,22.3
156,堡林,2016-06-16,21.8
156,堡林,2016-06-17,23.6
156,堡林,2016-06-18,23.9
156,堡林,2016-06-19,25.8
156,堡林,2016-06-20,22.9
156,堡林,2016-06-21,25.4
156,堡林,2016-06-22,22.8
156,堡林,2016-06-23,25.2
156,堡林,2016-06-24,22.2
156,堡林,2016-06-25,23.2
156,堡林,2016-06-26,24.1
156,堡林,2016-06-27,22.3
156,堡林,2016-06-28,22.9
156,堡林,2016-06-29,23
156,堡林,2016-06-30,24.8
156,堡林,2016-07-01,24.7
156,堡林,2016-07-02,23
156,堡林,2016-07-03,21.9
156,堡林,2016-07-04,25.7
156,堡林,2016-07-05,26.9
156,堡林,2016-07-06,26.5
156,堡林,2016-07-07,26.6
156,堡林,2016-07-08,26.6
156,堡林,2016-07-09,27.8
156,堡林,2016-07-10,27.4
156,堡林,2016-07-11,26.5
156,堡林,2016-07-12,24.5
156,堡林,2016-07-13,26.6
156,堡林,2016-07-14,25.8
156,堡林,2016-07-15,26
156,堡林,2016-07-16,23.5
156,堡林,2016-07-17,24.4
156,堡林,2016-07-18,25.2
156,堡林,2016-07-19,26.9
156,堡林,2016-07-20,27.3
156,堡林,2016-07-21,27.4
156,堡林,2016-07-22,27.3
156,堡林,2016-07-23,27.9
156,堡林,2016-07-24,29.3
156,堡林,2016-07-25,29.6
156,堡林,2016-07-26,29.8
156,堡林,2016-07-27,28.8
156,堡林,2016-07-28,29.7
156,堡林,2016-07-29,30.5
156,堡林,2016-07-30,30.4
156,堡林,2016-07-31,30.2
156,堡林,2016-08-01,30
156,堡林,2016-08-02,28.1
156,堡林,2016-08-03,26.6
156,堡林,2016-08-04,28.6
156,堡林,2016-08-05,29.7
156,堡林,2016-08-06,29.7
156,堡林,2016-08-07,27.5
156,堡林,2016-08-08,27.9
156,堡林,2016-08-09,27.5
156,堡林,2016-08-10,29.5
156,堡林,2016-08-11,30.6
156,堡林,2016-08-12,30.6
156,堡林,2016-08-13,30.1
156,堡林,2016-08-14,29.5
156,堡林,2016-08-15,28.8
156,堡林,2016-08-16,28.7
156,堡林,2016-08-17,28.4
156,堡林,2016-08-18,28.9
156,堡林,2016-08-19,29.6
156,堡林,2016-08-20,29.9
156,堡林,2016-08-21,29.9
156,堡林,2016-08-22,29.8
156,堡林,2016-08-23,27.9
156,堡林,2016-08-24,29.1
156,堡林,2016-08-25,28.8
156,堡林,2016-08-26,23.9
156,堡林,2016-08-27,22.2
156,堡林,2016-08-28,20.4
156,堡林,2016-08-29,21.9
156,堡林,2016-08-30,22.7
156,堡林,2016-08-31,24.6
156,堡林,2016-09-01,26.5
156,堡林,2016-09-02,21.6
156,堡林,2016-09-03,25.8
156,堡林,2016-09-04,26.9
156,堡林,2016-09-05,26.2
156,堡林,2016-09-06,24.3
156,堡林,2016-09-07,23.4
156,堡林,2016-09-08,23.9
156,堡林,2016-09-09,24.2
156,堡林,2016-09-10,23
156,堡林,2016-09-11,23
156,堡林,2016-09-12,23.1
156,堡林,2016-09-13,24.8
156,堡林,2016-09-14,24.3
156,堡林,2016-09-15,24.6
156,堡林,2016-09-16,21.7
156,堡林,2016-09-17,20.5
156,堡林,2016-09-18,20.2
156,堡林,2016-09-19,21.3
156,堡林,2016-09-20,21.2
156,堡林,2016-09-21,20.4
156,堡林,2016-09-22,21.5
156,堡林,2016-09-23,21.7
156,堡林,2016-09-24,22.6
156,堡林,2016-09-25,23
156,堡林,2016-09-26,23.7
156,堡林,2016-09-27,25.7
156,堡林,2016-09-28,21.9
156,堡林,2016-09-29,21.2
156,堡林,2016-09-30,18.5
156,堡林,2016-10-01,20.4
156,堡林,2016-10-02,23.5
156,堡林,2016-10-03,24
156,堡林,2016-10-04,23.5
156,堡林,2016-10-05,21.1
156,堡林,2016-10-06,20.1
156,堡林,2016-10-07,18.4
156,堡林,2016-10-08,17.8
156,堡林,2016-10-09,13.9
156,堡林,2016-10-10,14.8
156,堡林,2016-10-11,15.8
156,堡林,2016-10-12,16.7
156,堡林,2016-10-13,15.8
156,堡林,2016-10-14,17.5
156,堡林,2016-10-15,18.7
156,堡林,2016-10-16,16.4
156,堡林,2016-10-17,18.8
156,堡林,2016-10-18,18.1
156,堡林,2016-10-19,18.5
156,堡林,2016-10-20,17.4
156,堡林,2016-10-21,17.9
156,堡林,2016-10-22,18.4
156,堡林,2016-10-23,16.8
156,堡林,2016-10-24,16
156,堡林,2016-10-25,16.6
156,堡林,2016-10-26,15.2
156,堡林,2016-10-27,15.7
156,堡林,2016-10-28,14.6
156,堡林,2016-10-29,11.3
156,堡林,2016-10-30,10.1
156,堡林,2016-10-31,9.8
156,堡林,2016-11-01,6.6
156,堡林,2016-11-02,7.5
156,堡林,2016-11-03,9.8
156,堡林,2016-11-04,11.4
156,堡林,2016-11-05,14.5
156,堡林,2016-11-06,14.1
156,堡林,2016-11-07,15
156,堡林,2016-11-08,9.2
156,堡林,2016-11-09,5.8
156,堡林,2016-11-10,8.5
156,堡林,2016-11-11,10.4
156,堡林,2016-11-12,12.3
156,堡林,2016-11-13,14.7
156,堡林,2016-11-14,15.8
156,堡林,2016-11-15,10.7
156,堡林,2016-11-16,9.2
156,堡林,2016-11-17,13.6
156,堡林,2016-11-18,11.9
156,堡林,2016-11-19,14.7
156,堡林,2016-11-20,14.1
156,堡林,2016-11-21,13.8
156,堡林,2016-11-22,7.5
156,堡林,2016-11-23,3.6
156,堡林,2016-11-24,2.7
156,堡林,2016-11-25,4.8
156,堡林,2016-11-26,3.4
156,堡林,2016-11-27,5.9
156,堡林,2016-11-28,6
156,堡林,2016-11-29,5.3
156,堡林,2016-11-30,5.8
156,堡林,2016-12-01,7.1
156,堡林,2016-12-02,4.5
156,堡林,2016-12-03,5.1
156,堡林,2016-12-04,6.5
156,堡林,2016-12-05,9.3
156,堡林,2016-12-06,3.9
156,堡林,2016-12-07,2.4
156,堡林,2016-12-08,5.5
156,堡林,2016-12-09,6.1
156,堡林,2016-12-10,2.6
156,堡林,2016-12-11,3.2
156,堡林,2016-12-12,6.9
156,堡林,2016-12-13,7.2
156,堡林,2016-12-14,2.6
156,堡林,2016-12-15,.6
156,堡林,2016-12-16,.5
156,堡林,2016-12-17,4.5
156,堡林,2016-12-18,6.4
156,堡林,2016-12-19,10.2
156,堡林,2016-12-20,10.3
156,堡林,2016-12-21,12.8
156,堡林,2016-12-22,8.6
156,堡林,2016-12-23,2.8
156,堡林,2016-12-24,2.3
156,堡林,2016-12-25,4.9
156,堡林,2016-12-26,6.1
156,堡林,2016-12-27,2.3
156,堡林,2016-12-28,-.1
156,堡林,2016-12-29,-.4
156,堡林,2016-12-30,.3
156,堡林,2016-12-31,1.9
156,堡林,2017-01-01,4.5
156,堡林,2017-01-02,7.2
156,堡林,2017-01-03,5.7
156,堡林,2017-01-04,5
156,堡林,2017-01-05,6.8
156,堡林,2017-01-06,8.2
156,堡林,2017-01-07,6.6
156,堡林,2017-01-08,8.7
156,堡林,2017-01-09,5.1
156,堡林,2017-01-10,2.8
156,堡林,2017-01-11,.1
156,堡林,2017-01-12,2.3
156,堡林,2017-01-13,-.1
156,堡林,2017-01-14,-3
156,堡林,2017-01-15,-3
156,堡林,2017-01-16,-.6
156,堡林,2017-01-17,.3
156,堡林,2017-01-18,2.3
156,堡林,2017-01-19,2.2
156,堡林,2017-01-20,-.3
156,堡林,2017-01-21,-.5
156,堡林,2017-01-22,-1.7
156,堡林,2017-01-23,-3.6
156,堡林,2017-01-24,-2
156,堡林,2017-01-25,-1.3
156,堡林,2017-01-26,.8
156,堡林,2017-01-27,2
156,堡林,2017-01-28,3.4
156,堡林,2017-01-29,5.3
156,堡林,2017-01-30,-.2
156,堡林,2017-01-31,-1.4
156,堡林,2017-02-01,-.1
156,堡林,2017-02-02,.2
156,堡林,2017-02-03,3
156,堡林,2017-02-04,6.7
156,堡林,2017-02-05,5.2
156,堡林,2017-02-06,1.7
156,堡林,2017-02-07,1.7
156,堡林,2017-02-08,1.9
156,堡林,2017-02-09,-1.4
156,堡林,2017-02-10,-3.5
156,堡林,2017-02-11,-1.7
156,堡林,2017-02-12,1.1
156,堡林,2017-02-13,2.7
156,堡林,2017-02-14,3.5
156,堡林,2017-02-15,4.4
156,堡林,2017-02-16,8.2
156,堡林,2017-02-17,5.5
156,堡林,2017-02-18,.7
156,堡林,2017-02-19,5.6
156,堡林,2017-02-20,3.4
156,堡林,2017-02-21,3
156,堡林,2017-02-22,6
156,堡林,2017-02-23,1.7
156,堡林,2017-02-24,1.7
156,堡林,2017-02-25,4.5
156,堡林,2017-02-26,4.3
156,堡林,2017-02-27,5.1
156,堡林,2017-02-28,6.3
156,堡林,2017-03-01,7.7
156,堡林,2017-03-02,2.8
156,堡林,2017-03-03,5.2
156,堡林,2017-03-04,7.4
156,堡林,2017-03-05,7.3
156,堡林,2017-03-06,3.3
156,堡林,2017-03-07,.5
156,堡林,2017-03-08,2.3
156,堡林,2017-03-09,6.6
156,堡林,2017-03-10,7.6
156,堡林,2017-03-11,8.7
156,堡林,2017-03-12,9.9
156,堡林,2017-03-13,8.6
156,堡林,2017-03-14,6
156,堡林,2017-03-15,6
156,堡林,2017-03-16,6.6
156,堡林,2017-03-17,7.8
156,堡林,2017-03-18,9.9
156,堡林,2017-03-19,11.4
156,堡林,2017-03-20,8.7
156,堡林,2017-03-21,7.2
156,堡林,2017-03-22,7.7
156,堡林,2017-03-23,9.9
156,堡林,2017-03-24,9.3
156,堡林,2017-03-25,7
156,堡林,2017-03-26,7
156,堡林,2017-03-27,7.5
156,堡林,2017-03-28,8.2
156,堡林,2017-03-29,8
156,堡林,2017-03-30,11.8
156,堡林,2017-03-31,10.9
156,堡林,2017-04-01,9.3
156,堡林,2017-04-02,9.4
156,堡林,2017-04-03,11.8
156,堡林,2017-04-04,14.8
156,堡林,2017-04-05,15
156,堡林,2017-04-06,14.3
156,堡林,2017-04-07,15.3
156,堡林,2017-04-08,16.8
156,堡林,2017-04-09,15.9
156,堡林,2017-04-10,16.6
156,堡林,2017-04-11,12.5
156,堡林,2017-04-12,13.2
156,堡林,2017-04-13,13.7
156,堡林,2017-04-14,15.6
156,堡林,2017-04-15,18.8
156,堡林,2017-04-16,20.3
156,堡林,2017-04-17,16
156,堡林,2017-04-18,14
156,堡林,2017-04-19,14.1
156,堡林,2017-04-20,12.6
156,堡林,2017-04-21,14.6
156,堡林,2017-04-22,14.5
156,堡林,2017-04-23,15.4
156,堡林,2017-04-24,16.7
156,堡林,2017-04-25,18.4
156,堡林,2017-04-26,15.6
156,堡林,2017-04-27,14
156,堡林,2017-04-28,15.8
156,堡林,2017-04-29,18.6
156,堡林,2017-04-30,20.1
156,堡林,2017-05-01,19.7
156,堡林,2017-05-02,20.1
156,堡林,2017-05-03,21.2
156,堡林,2017-05-04,20.2
156,堡林,2017-05-05,18.9
156,堡林,2017-05-06,17.1
156,堡林,2017-05-07,17.6
156,堡林,2017-05-08,18.2
156,堡林,2017-05-09,14.4
156,堡林,2017-05-10,15.7
156,堡林,2017-05-11,21.3
156,堡林,2017-05-12,19.9
156,堡林,2017-05-13,19.2
156,堡林,2017-05-14,16.8
156,堡林,2017-05-15,16.7
156,堡林,2017-05-16,17.6
156,堡林,2017-05-17,19
156,堡林,2017-05-18,20.8
156,堡林,2017-05-19,21.9
156,堡林,2017-05-20,21.2
156,堡林,2017-05-21,21.2
156,堡林,2017-05-22,22.9
156,堡林,2017-05-23,22.2
156,堡林,2017-05-24,21.9
156,堡林,2017-05-25,20
156,堡林,2017-05-26,17
156,堡林,2017-05-27,19.1
156,堡林,2017-05-28,22.1
156,堡林,2017-05-29,24.3
156,堡林,2017-05-30,24.1
156,堡林,2017-05-31,22.5
156,堡林,2017-06-01,22
156,堡林,2017-06-02,20.5
156,堡林,2017-06-03,20.3
156,堡林,2017-06-04,21.5
156,堡林,2017-06-05,23.1
156,堡林,2017-06-06,19.5
156,堡林,2017-06-07,18.3
156,堡林,2017-06-08,20.6
156,堡林,2017-06-09,22.5
156,堡林,2017-06-10,23.2
156,堡林,2017-06-11,24
156,堡林,2017-06-12,21.6
156,堡林,2017-06-13,21.6
156,堡林,2017-06-14,21.6
156,堡林,2017-06-15,23.3
156,堡林,2017-06-16,25.2
156,堡林,2017-06-17,24.6
156,堡林,2017-06-18,25.2
156,堡林,2017-06-19,25.9
156,堡林,2017-06-20,22.7
156,堡林,2017-06-21,24.2
156,堡林,2017-06-22,25.5
156,堡林,2017-06-23,25.5
156,堡林,2017-06-24,24.6
156,堡林,2017-06-25,25.1
156,堡林,2017-06-26,23.5
156,堡林,2017-06-27,23.9
156,堡林,2017-06-28,25.1
156,堡林,2017-06-29,24.5
156,堡林,2017-06-30,24.6
156,堡林,2017-07-01,26.3
156,堡林,2017-07-02,26.7
156,堡林,2017-07-03,26.8
156,堡林,2017-07-04,27.1
156,堡林,2017-07-05,27.7
156,堡林,2017-07-06,26.2
156,堡林,2017-07-07,27.5
156,堡林,2017-07-08,26.5
156,堡林,2017-07-09,27.5
156,堡林,2017-07-10,27.3
156,堡林,2017-07-11,26.5
156,堡林,2017-07-12,28
156,堡林,2017-07-13,28.5
156,堡林,2017-07-14,26.8
156,堡林,2017-07-15,25.7
156,堡林,2017-07-16,28.5
156,堡林,2017-07-17,26.8
156,堡林,2017-07-18,26
156,堡林,2017-07-19,28.7
156,堡林,2017-07-20,29.6
156,堡林,2017-07-21,30.7
156,堡林,2017-07-22,29.7
156,堡林,2017-07-23,29.1
156,堡林,2017-07-24,30
156,堡林,2017-07-25,29.4
156,堡林,2017-07-26,28.9
156,堡林,2017-07-27,28.7
156,堡林,2017-07-28,28.8
156,堡林,2017-07-29,29.1
156,堡林,2017-07-30,27.2
156,堡林,2017-07-31,26.1
156,堡林,2017-08-01,27.8
156,堡林,2017-08-02,28.8
156,堡林,2017-08-03,28.9
156,堡林,2017-08-04,30.7
156,堡林,2017-08-05,31.5
156,堡林,2017-08-06,30.5
156,堡林,2017-08-07,30.1
156,堡林,2017-08-08,29.1
156,堡林,2017-08-09,27.8
156,堡林,2017-08-10,28.2
156,堡林,2017-08-11,28.1
156,堡林,2017-08-12,27.2
156,堡林,2017-08-13,24.1
156,堡林,2017-08-14,24.1
156,堡林,2017-08-15,24.9
156,堡林,2017-08-16,26.6
156,堡林,2017-08-17,26.4
156,堡林,2017-08-18,25.9
156,堡林,2017-08-19,26.9
156,堡林,2017-08-20,26.5
156,堡林,2017-08-21,25.4
156,堡林,2017-08-22,26.9
156,堡林,2017-08-23,29.3
156,堡林,2017-08-24,29.3
156,堡林,2017-08-25,27.6
156,堡林,2017-08-26,25.4
156,堡林,2017-08-27,25.3
156,堡林,2017-08-28,26.1
156,堡林,2017-08-29,23.6
156,堡林,2017-08-30,21.1
156,堡林,2017-08-31,23.2
156,堡林,2017-09-01,24.1
156,堡林,2017-09-02,23
156,堡林,2017-09-03,23.7
156,堡林,2017-09-04,23.4
156,堡林,2017-09-05,21.2
156,堡林,2017-09-06,22
156,堡林,2017-09-07,22.2
156,堡林,2017-09-08,23
156,堡林,2017-09-09,24
156,堡林,2017-09-10,24.6
156,堡林,2017-09-11,21.6
156,堡林,2017-09-12,22.9
156,堡林,2017-09-13,22.2
156,堡林,2017-09-14,22.8
156,堡林,2017-09-15,21.4
156,堡林,2017-09-16,21.4
156,堡林,2017-09-17,23.7
156,堡林,2017-09-18,22.5
156,堡林,2017-09-19,23.7
156,堡林,2017-09-20,21.2
156,堡林,2017-09-21,20.3
156,堡林,2017-09-22,21.7
156,堡林,2017-09-23,21.9
156,堡林,2017-09-24,23.3
156,堡林,2017-09-25,24.4
156,堡林,2017-09-26,25.3
156,堡林,2017-09-27,20.3
156,堡林,2017-09-28,21.3
156,堡林,2017-09-29,17.9
156,堡林,2017-09-30,19.7
156,堡林,2017-10-01,18.2
156,堡林,2017-10-02,21.1
156,堡林,2017-10-03,19.5
156,堡林,2017-10-04,19.3
156,堡林,2017-10-05,17.4
156,堡林,2017-10-06,16.5
156,堡林,2017-10-07,20.8
156,堡林,2017-10-08,22.3
156,堡林,2017-10-09,23
156,堡林,2017-10-10,23.2
156,堡林,2017-10-11,18.5
156,堡林,2017-10-12,13
156,堡林,2017-10-13,14.2
156,堡林,2017-10-14,16.8
156,堡林,2017-10-15,15.1
156,堡林,2017-10-16,16.9
156,堡林,2017-10-17,16.8
156,堡林,2017-10-18,16.8
156,堡林,2017-10-19,17.1
156,堡林,2017-10-20,17.5
156,堡林,2017-10-21,18
156,堡林,2017-10-22,17.9
156,堡林,2017-10-23,15.3
156,堡林,2017-10-24,14.4
156,堡林,2017-10-25,13.7
156,堡林,2017-10-26,14.7
156,堡林,2017-10-27,16.5
156,堡林,2017-10-28,17.3
156,堡林,2017-10-29,13.8
156,堡林,2017-10-30,9.7
156,堡林,2017-10-31,10.6
156,堡林,2017-11-01,12.4
156,堡林,2017-11-02,13.4
156,堡林,2017-11-03,11.4
156,堡林,2017-11-04,9.5
156,堡林,2017-11-05,9.5
156,堡林,2017-11-06,10.7
156,堡林,2017-11-07,16.3
156,堡林,2017-11-08,14.7
156,堡林,2017-11-09,12.3
156,堡林,2017-11-10,13.4
156,堡林,2017-11-11,9
156,堡林,2017-11-12,8.5
156,堡林,2017-11-13,10.1
156,堡林,2017-11-14,10.8
156,堡林,2017-11-15,7.6
156,堡林,2017-11-16,6.4
156,堡林,2017-11-17,8.8
156,堡林,2017-11-18,3.2
156,堡林,2017-11-19,3.3
156,堡林,2017-11-20,6
156,堡林,2017-11-21,6.3
156,堡林,2017-11-22,7.3
156,堡林,2017-11-23,4.6
156,堡林,2017-11-24,5
156,堡林,2017-11-25,6.6
156,堡林,2017-11-26,8.2
156,堡林,2017-11-27,6
156,堡林,2017-11-28,9.3
156,堡林,2017-11-29,8.8
156,堡林,2017-11-30,3.1
156,堡林,2017-12-01,1.9
156,堡林,2017-12-02,2.6
156,堡林,2017-12-03,6.3
156,堡林,2017-12-04,3.2
156,堡林,2017-12-05,-.3
156,堡林,2017-12-06,3.3
156,堡林,2017-12-07,3.7
156,堡林,2017-12-08,.2
156,堡林,2017-12-09,1.9
156,堡林,2017-12-10,4.8
156,堡林,2017-12-11,0
156,堡林,2017-12-12,-3.3
156,堡林,2017-12-13,-2.5
156,堡林,2017-12-14,-.9
156,堡林,2017-12-15,1.5
156,堡林,2017-12-16,-.4
156,堡林,2017-12-17,-2.2
156,堡林,2017-12-18,1.6
156,堡林,2017-12-19,.7
156,堡林,2017-12-20,1.6
156,堡林,2017-12-21,2.2
156,堡林,2017-12-22,3.2
156,堡林,2017-12-23,5.8
156,堡林,2017-12-24,6.8
156,堡林,2017-12-25,2.1
156,堡林,2017-12-26,1.1
156,堡林,2017-12-27,-1.4
156,堡林,2017-12-28,.8
156,堡林,2017-12-29,4.4
156,堡林,2017-12-30,5.9
156,堡林,2017-12-31,4.1
156,堡林,2018-01-01,2.3
156,堡林,2018-01-02,2.2
156,堡林,2018-01-03,.2
156,堡林,2018-01-04,-.6
156,堡林,2018-01-05,1.4
156,堡林,2018-01-06,2.3
156,堡林,2018-01-07,2.6
156,堡林,2018-01-08,3.6
156,堡林,2018-01-09,-.1
156,堡林,2018-01-10,-3.1
156,堡林,2018-01-11,-6
156,堡林,2018-01-12,-6.4
156,堡林,2018-01-13,-1.9
156,堡林,2018-01-14,1.3
156,堡林,2018-01-15,5.3
156,堡林,2018-01-16,4.8
156,堡林,2018-01-17,5.6
156,堡林,2018-01-18,5.1
156,堡林,2018-01-19,2.4
156,堡林,2018-01-20,2.9
156,堡林,2018-01-21,3.7
156,堡林,2018-01-22,5.3
156,堡林,2018-01-23,-4.1
156,堡林,2018-01-24,-8
156,堡林,2018-01-25,-7.5
156,堡林,2018-01-26,-7.9
156,堡林,2018-01-27,-4.6
156,堡林,2018-01-28,-1.1
156,堡林,2018-01-29,-3.9
156,堡林,2018-01-30,-2.8
156,堡林,2018-01-31,-.4
156,堡林,2018-02-01,-.1
156,堡林,2018-02-02,-.9
156,堡林,2018-02-03,-3.4
156,堡林,2018-02-04,-5.9
156,堡林,2018-02-05,-5.6
156,堡林,2018-02-06,-6.5
156,堡林,2018-02-07,-4.2
156,堡林,2018-02-08,-.2
156,堡林,2018-02-09,3.8
156,堡林,2018-02-10,2.2
156,堡林,2018-02-11,-1.9
156,堡林,2018-02-12,-2.9
156,堡林,2018-02-13,1.3
156,堡林,2018-02-14,5.9
156,堡林,2018-02-15,3
156,堡林,2018-02-16,2.5
156,堡林,2018-02-17,1.2
156,堡林,2018-02-18,3.7
156,堡林,2018-02-19,6.1
156,堡林,2018-02-20,4.8
156,堡林,2018-02-21,1.8
156,堡林,2018-02-22,2.3
156,堡林,2018-02-23,6.3
156,堡林,2018-02-24,6.6
156,堡林,2018-02-25,6.5
156,堡林,2018-02-26,6.3
156,堡林,2018-02-27,8.3
156,堡林,2018-02-28,8
156,堡林,2018-03-01,3.1
156,堡林,2018-03-02,3.4
156,堡林,2018-03-03,9.9
156,堡林,2018-03-04,14.8
156,堡林,2018-03-05,10.7
156,堡林,2018-03-06,8.9
156,堡林,2018-03-07,6.8
156,堡林,2018-03-08,3.8
156,堡林,2018-03-09,4.8
156,堡林,2018-03-10,5.2
156,堡林,2018-03-11,7.7
156,堡林,2018-03-12,10.1
156,堡林,2018-03-13,13.7
156,堡林,2018-03-14,16.7
156,堡林,2018-03-15,14.2
156,堡林,2018-03-16,8.1
156,堡林,2018-03-17,8.9
156,堡林,2018-03-18,9.8
156,堡林,2018-03-19,11.8
156,堡林,2018-03-20,7.7
156,堡林,2018-03-21,2.3
156,堡林,2018-03-22,5.8
156,堡林,2018-03-23,6.9
156,堡林,2018-03-24,9.8
156,堡林,2018-03-25,12
156,堡林,2018-03-26,12.9
156,堡林,2018-03-27,14.5
156,堡林,2018-03-28,15.6
156,堡林,2018-03-29,17
156,堡林,2018-03-30,16.6
156,堡林,2018-03-31,17.1
156,堡林,2018-04-01,18.1
156,堡林,2018-04-02,18.9
156,堡林,2018-04-03,20
156,堡林,2018-04-04,16
156,堡林,2018-04-05,12.4
156,堡林,2018-04-06,9.3
156,堡林,2018-04-07,5
156,堡林,2018-04-08,9.5
156,堡林,2018-04-09,14.1
156,堡林,2018-04-10,17.5
156,堡林,2018-04-11,16.5
156,堡林,2018-04-12,13.6
156,堡林,2018-04-13,14.8
156,堡林,2018-04-14,10.9
156,堡林,2018-04-15,10.1
156,堡林,2018-04-16,11.6
156,堡林,2018-04-17,14
156,堡林,2018-04-18,13.8
156,堡林,2018-04-19,15.2
156,堡林,2018-04-20,19.3
156,堡林,2018-04-21,19.7
156,堡林,2018-04-22,19.4
156,堡林,2018-04-23,15.3
156,堡林,2018-04-24,14
156,堡林,2018-04-25,15.9
156,堡林,2018-04-26,15.9
156,堡林,2018-04-27,16.2
156,堡林,2018-04-28,17.8
156,堡林,2018-04-29,17.9
156,堡林,2018-04-30,19.5
156,堡林,2018-05-01,19.7
156,堡林,2018-05-02,16.3
156,堡林,2018-05-03,12.4
156,堡林,2018-05-04,14.8
156,堡林,2018-05-05,18.4
156,堡林,2018-05-06,17.2
156,堡林,2018-05-07,18.4
